time_ana,D_ana_n1,D_ana_n2,D_ana_n3,D_ana_n4
8370,1637.2716750361742,1637.2716750361742,1637.2716750361742,1637.2716750361742
8372,1637.6338892642575,1637.6338892642575,1637.6338892642575,1637.6338892642575
8374,1637.996098358953,1637.996098358953,1637.996098358953,1637.996098358953
8376,1638.3583023217755,1638.3583023217755,1638.3583023217755,1638.3583023217755
8378,1638.7205011542376,1638.7205011542376,1638.7205011542376,1638.7205011542376
8380,1639.082694857852,1639.082694857852,1639.082694857852,1639.082694857852
8382,1639.4448834341306,1639.4448834341306,1639.4448834341306,1639.4448834341306
8384,1639.8070668845837,1639.8070668845837,1639.8070668845837,1639.8070668845837
8386,1640.1692452107218,1640.1692452107218,1640.1692452107218,1640.1692452107218
8388,1640.531418414054,1640.531418414054,1640.531418414054,1640.531418414054
8390,1640.8935864960886,1640.8935864960886,1640.8935864960886,1640.8935864960886
8392,1641.255749458333,1641.255749458333,1641.255749458333,1641.255749458333
8394,1641.617907302294,1641.617907302294,1641.617907302294,1641.617907302294
8396,1641.9800600294777,1641.9800600294777,1641.9800600294777,1641.9800600294777
8398,1642.342207641389,1642.342207641389,1642.342207641389,1642.342207641389
8400,1642.7043501395324,1642.7043501395324,1642.7043501395324,1642.7043501395324
8402,1643.066487525411,1643.066487525411,1643.066487525411,1643.066487525411
8404,1643.428619800528,1643.428619800528,1643.428619800528,1643.428619800528
8406,1643.7907469663846,1643.7907469663846,1643.7907469663846,1643.7907469663846
8408,1644.1528690244822,1644.1528690244822,1644.1528690244822,1644.1528690244822
8410,1644.514985976321,1644.514985976321,1644.514985976321,1644.514985976321
8412,1644.8770978234004,1644.8770978234004,1644.8770978234004,1644.8770978234004
8414,1645.2392045672186,1645.2392045672186,1645.2392045672186,1645.2392045672186
8416,1645.6013062092738,1645.6013062092738,1645.6013062092738,1645.6013062092738
8418,1645.9634027510629,1645.9634027510629,1645.9634027510629,1645.9634027510629
8420,1646.325494194082,1646.325494194082,1646.325494194082,1646.325494194082
8422,1646.687580539826,1646.687580539826,1646.687580539826,1646.687580539826
8424,1647.0496617897902,1647.0496617897902,1647.0496617897902,1647.0496617897902
8426,1647.4117379454676,1647.4117379454676,1647.4117379454676,1647.4117379454676
8428,1647.7738090083517,1647.7738090083517,1647.7738090083517,1647.7738090083517
8430,1648.135874979934,1648.135874979934,1648.135874979934,1648.135874979934
8432,1648.497935861706,1648.497935861706,1648.497935861706,1648.497935861706
8434,1648.8599916551586,1648.8599916551586,1648.8599916551586,1648.8599916551586
8436,1649.2220423617807,1649.2220423617807,1649.2220423617807,1649.2220423617807
8438,1649.5840879830619,1649.5840879830619,1649.5840879830619,1649.5840879830619
8440,1649.9461285204895,1649.9461285204895,1649.9461285204895,1649.9461285204895
8442,1650.3081639755515,1650.3081639755515,1650.3081639755515,1650.3081639755515
8444,1650.6701943497337,1650.6701943497337,1650.6701943497337,1650.6701943497337
8446,1651.0322196445222,1651.0322196445222,1651.0322196445222,1651.0322196445222
8448,1651.3942398614015,1651.3942398614015,1651.3942398614015,1651.3942398614015
8450,1651.7562550018558,1651.7562550018558,1651.7562550018558,1651.7562550018558
8452,1652.1182650673682,1652.1182650673682,1652.1182650673682,1652.1182650673682
8454,1652.4802700594212,1652.4802700594212,1652.4802700594212,1652.4802700594212
8456,1652.8422699794965,1652.8422699794965,1652.8422699794965,1652.8422699794965
8458,1653.2042648290746,1653.2042648290746,1653.2042648290746,1653.2042648290746
8460,1653.566254609636,1653.566254609636,1653.566254609636,1653.566254609636
8462,1653.9282393226595,1653.9282393226595,1653.9282393226595,1653.9282393226595
8464,1654.2902189696235,1654.2902189696235,1654.2902189696235,1654.2902189696235
8466,1654.6521935520057,1654.6521935520057,1654.6521935520057,1654.6521935520057
8468,1655.014163071283,1655.014163071283,1655.014163071283,1655.014163071283
8470,1655.3761275289314,1655.3761275289314,1655.3761275289314,1655.3761275289314
8472,1655.738086926426,1655.738086926426,1655.738086926426,1655.738086926426
8474,1656.1000412652413,1656.1000412652413,1656.1000412652413,1656.1000412652413
8476,1656.4619905468508,1656.4619905468508,1656.4619905468508,1656.4619905468508
8478,1656.8239347727274,1656.8239347727274,1656.8239347727274,1656.8239347727274
8480,1657.185873944343,1657.185873944343,1657.185873944343,1657.185873944343
8482,1657.547808063169,1657.547808063169,1657.547808063169,1657.547808063169
8484,1657.9097371306755,1657.9097371306755,1657.9097371306755,1657.9097371306755
8486,1658.2716611483324,1658.2716611483324,1658.2716611483324,1658.2716611483324
8488,1658.6335801176087,1658.6335801176087,1658.6335801176087,1658.6335801176087
8490,1658.995494039972,1658.995494039972,1658.995494039972,1658.995494039972
8492,1659.35740291689,1659.35740291689,1659.35740291689,1659.35740291689
8494,1659.7193067498288,1659.7193067498288,1659.7193067498288,1659.7193067498288
8496,1660.0812055402541,1660.0812055402541,1660.0812055402541,1660.0812055402541
8498,1660.443099289631,1660.443099289631,1660.443099289631,1660.443099289631
8500,1660.804987999423,1660.804987999423,1660.804987999423,1660.804987999423
8502,1661.166871671094,1661.166871671094,1661.166871671094,1661.166871671094
8504,1661.5287503061063,1661.5287503061063,1661.5287503061063,1661.5287503061063
8506,1661.8906239059215,1661.8906239059215,1661.8906239059215,1661.8906239059215
8508,1662.2524924720005,1662.2524924720005,1662.2524924720005,1662.2524924720005
8510,1662.6143560058035,1662.6143560058035,1662.6143560058035,1662.6143560058035
8512,1662.97621450879,1662.97621450879,1662.97621450879,1662.97621450879
